HDI rank;Country;Internally displaced peoplea(thousands)2006e ;Reference 1;Refugees By country of asylum(thousands)2006e;Reference 2;Refugees By country of originc(thousands) 2006e;Reference 3;Conventional arms transfersb(1990 prices) Imports (US$ millions) 1996;Reference 4;Conventional arms transfersb(1990 prices) Imports (US$ millions)2006;Reference 5;Conventional arms Exports US$ millions  2006;Reference 6;Conventional arms Exports Shared(%)  2002-06;Total armed forces Thousands2007;Reference 7;Total armed forces Index (1985 = 100)2007;HDI category
1;Iceland;..;;(.);;(.);;..;;..;;..;;..;0;;..;HIGH HUMAN DEVELOPMENT
2;Norway;..;;43;;..;;183;;501;;2;;(.);23;;62;HIGH HUMAN DEVELOPMENT
3;Australia;..;;69;;(.);;582;;768;;4;;(.);52;;74;HIGH HUMAN DEVELOPMENT
4;Canada;..;;152;;(.);;389;;100;;227;;1;63;;76;HIGH HUMAN DEVELOPMENT
5;Ireland;..;;8;;..;;0;;11;;..;;..;10;;73;HIGH HUMAN DEVELOPMENT
6;Sweden;..;;80;;(.);;104;;122;;472;;2;28;;43;HIGH HUMAN DEVELOPMENT
7;Switzerland;..;;49;;(.);;187;;72;;144;;1;4;;..;HIGH HUMAN DEVELOPMENT
8;Japan;..;;2;;(.);;813;;400;;0;;(.);240;;99;HIGH HUMAN DEVELOPMENT
9;Netherlands;..;;101;;(.);;181;;171;;1,481;;3;53;;50;HIGH HUMAN DEVELOPMENT
10;France;..;;146;;(.);;28;;121;;1,557;;8;255;;55;HIGH HUMAN DEVELOPMENT
11;Finland;..;;12;;(.);;605;;84;;31;;(.);29;;79;HIGH HUMAN DEVELOPMENT
12;United States;..;;844;;1;;540;;417;;7,888;;30;1,506;;70;HIGH HUMAN DEVELOPMENT
13;Spain;..;;5;;2;;435;;378;;803;;1;147;;46;HIGH HUMAN DEVELOPMENT
14;Denmark;..;;37;;(.);;70;;133;;3;;(.);22;;74;HIGH HUMAN DEVELOPMENT
15;Austria;..;;25;;(.);;10;;0;;61;;(.);40;;73;HIGH HUMAN DEVELOPMENT
16;United Kingdom;..;;302;;0;;735;;462;;1,071;;4;191;;57;HIGH HUMAN DEVELOPMENT
17;Belgium;..;;17;;(.);;4;;4;;50;;(.);40;;44;HIGH HUMAN DEVELOPMENT
18;Luxembourg;..;;2;;..;;4;;0;;..;;..;1;;129;HIGH HUMAN DEVELOPMENT
19;New Zealand;..;;5;;(.);;7;;8;;0;;(.);9;;73;HIGH HUMAN DEVELOPMENT
20;Italy;..;;27;;(.);;293;;697;;860;;2;191;;50;HIGH HUMAN DEVELOPMENT
21;Hong Kong, China (SAR);..;;2;;(.);;..;;..;;..;;..;..;;..;HIGH HUMAN DEVELOPMENT
22;Germany;..;;605;;(.);;213;;529;;3,850;;9;246;;51;HIGH HUMAN DEVELOPMENT
23;Israel;420;f;1;;1;;88;;994;;224;;2;168;;118;HIGH HUMAN DEVELOPMENT
24;Greece;..;;2;;(.);;377;;1,452;;23;;(.);147;;73;HIGH HUMAN DEVELOPMENT
25;Singapore;..;;..;;(.);;153;;54;;0;;(.);73;;133;HIGH HUMAN DEVELOPMENT
26;Korea (Republic of);..;;(.);;1;;1,759;;1,292;;89;;(.);687;;115;HIGH HUMAN DEVELOPMENT
27;Slovenia;..;;(.);;2;;14;;2;;..;;..;7;;..;HIGH HUMAN DEVELOPMENT
28;Cyprus;210;g;1;;(.);;169;;26;;0;;(.);10;;100;HIGH HUMAN DEVELOPMENT
29;Portugal;..;;(.);;(.);;7;;431;;..;;..;44;;60;HIGH HUMAN DEVELOPMENT
30;Brunei Darussalam;..;;..;;..;;17;;3;;..;;..;7;;171;HIGH HUMAN DEVELOPMENT
31;Barbados;..;;..;;(.);;..;;..;;..;;..;1;;61;HIGH HUMAN DEVELOPMENT
32;Czech Republic;..;;2;;2;;24;;65;;56;;(.);25;;12;HIGH HUMAN DEVELOPMENT
33;Kuwait;..;;(.);;1;;1,161;;107;;0;;(.);16;;133;HIGH HUMAN DEVELOPMENT
34;Malta;..;;2;;(.);;1;;0;;0;;(.);2;;250;HIGH HUMAN DEVELOPMENT
35;Qatar;..;;(.);;(.);;201;;0;;0;;(.);12;;200;HIGH HUMAN DEVELOPMENT
36;Hungary;..;;8;;3;;138;;337;;0;;(.);32;;30;HIGH HUMAN DEVELOPMENT
37;Poland;..;;7;;14;;99;;224;;169;;(.);142;;45;HIGH HUMAN DEVELOPMENT
38;Argentina;..;;3;;1;;57;;53;;0;;(.);72;;67;HIGH HUMAN DEVELOPMENT
39;United Arab Emirates;..;;(.);;(.);;474;;2,439;;7;;(.);51;;119;HIGH HUMAN DEVELOPMENT
40;Chile;..;;1;;1;;180;;1,125;;0;;(.);76;;75;HIGH HUMAN DEVELOPMENT
41;Bahrain;..;;..;;(.);;181;;60;;0;;(.);11;;393;HIGH HUMAN DEVELOPMENT
42;Slovakia;..;;(.);;1;;30;;0;;0;;(.);15;;..;HIGH HUMAN DEVELOPMENT
43;Lithuania;..;;1;;1;;15;;33;;0;;(.);12;;..;HIGH HUMAN DEVELOPMENT
44;Estonia;..;;(.);;1;;1;;8;;0;;(.);4;;..;HIGH HUMAN DEVELOPMENT
45;Latvia;..;;(.);;1;;0;;4;;..;;..;5;;..;HIGH HUMAN DEVELOPMENT
46;Uruguay;..;;(.);;(.);;4;;7;;0;;(.);25;;78;HIGH HUMAN DEVELOPMENT
47;Croatia;7;;2;;94;;14;;0;;0;;(.);21;;..;HIGH HUMAN DEVELOPMENT
48;Costa Rica;..;;12;;(.);;..;;..;;..;;..;0;;..;HIGH HUMAN DEVELOPMENT
49;Bahamas;..;;..;;(.);;0;;0;;..;;..;1;;172;HIGH HUMAN DEVELOPMENT
50;Seychelles;..;;..;;(.);;..;;..;;..;;..;(.);;17;HIGH HUMAN DEVELOPMENT
51;Cuba;..;;1;;34;;..;;..;;..;;..;49;;30;HIGH HUMAN DEVELOPMENT
52;Mexico;12;g;3;;3;;79;;68;;..;;..;238;;184;HIGH HUMAN DEVELOPMENT
53;Bulgaria;..;;5;;3;;123;;20;;0;;(.);51;;34;HIGH HUMAN DEVELOPMENT
54;Saint Kitts and Nevis;..;;..;;..;;..;;..;;..;;..;..;;..;HIGH HUMAN DEVELOPMENT
55;Tonga;..;;..;;(.);;0;;0;;..;;..;..;;..;HIGH HUMAN DEVELOPMENT
56;Libyan Arab Jamahiriya;..;;3;;2;;0;;5;;24;;(.);76;;..;HIGH HUMAN DEVELOPMENT
57;Antigua and Barbuda;..;;..;;(.);;..;;..;;..;;..;(.);;170;HIGH HUMAN DEVELOPMENT
58;Oman;..;;(.);;(.);;284;;406;;0;;(.);42;;144;HIGH HUMAN DEVELOPMENT
59;Trinidad and Tobago;..;;..;;(.);;0;;0;;..;;..;3;;143;HIGH HUMAN DEVELOPMENT
60;Romania;..;;2;;7;;41;;131;;0;;(.);70;;37;HIGH HUMAN DEVELOPMENT
61;Saudi Arabia;..;;241;;1;;1,725;;148;;0;;(.);225;;360;HIGH HUMAN DEVELOPMENT
62;Panama;..;;2;;(.);;0;;0;;..;;..;0;;0;HIGH HUMAN DEVELOPMENT
63;Malaysia;..;;37;;1;;38;;654;;0;;(.);109;;99;HIGH HUMAN DEVELOPMENT
64;Belarus;..;;1;;9;;0;;254;;0;;(.);73;;..;HIGH HUMAN DEVELOPMENT
65;Mauritius;..;;..;;(.);;30;;0;;..;;..;0;;0;HIGH HUMAN DEVELOPMENT
66;Bosnia and Herzegovina;180;;10;;200;;52;;0;;0;;(.);12;;..;HIGH HUMAN DEVELOPMENT
67;Russian Federation;190;;1;;159;;0;;4;;6,733;;29;1,027;;19;HIGH HUMAN DEVELOPMENT
68;Albania;..;;(.);;14;;0;;0;;..;;..;11;;27;HIGH HUMAN DEVELOPMENT
69;Macedonia (TFYR);1;;1;;8;;0;;0;;..;;..;11;;..;HIGH HUMAN DEVELOPMENT
70;Brazil;..;;3;;1;;531;;323;;1;;(.);288;;104;MEDIUM HUMAN DEVELOPMENT
71;Dominica;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
72;Saint Lucia;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
73;Kazakhstan;..;;4;;7;;170;;53;;0;;(.);66;;..;MEDIUM HUMAN DEVELOPMENT
74;Venezuela (Bolivarian Republic of);..;;1;;4;;35;;498;;6;;(.);82;;167;MEDIUM HUMAN DEVELOPMENT
75;Colombia;3833;h;(.);;73;;57;;33;;..;;..;209;;316;MEDIUM HUMAN DEVELOPMENT
76;Ukraine;..;;2;;64;;..;;..;;133;;1;188;;..;MEDIUM HUMAN DEVELOPMENT
77;Samoa;..;;..;;..;;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
78;Thailand;..;;133;;3;;611;;47;;0;;(.);307;;130;MEDIUM HUMAN DEVELOPMENT
79;Dominican Republic;..;;..;;(.);;4;;0;;..;;..;25;;113;MEDIUM HUMAN DEVELOPMENT
80;Belize;..;;(.);;(.);;0;;0;;..;;..;1;;167;MEDIUM HUMAN DEVELOPMENT
81;China;..;;301;;141;;1,274;;3,261;;564;;2;2,255;;58;MEDIUM HUMAN DEVELOPMENT
82;Grenada;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
83;Armenia;8;g;114;;15;;104;;0;;..;;..;44;;..;MEDIUM HUMAN DEVELOPMENT
84;Turkey;1201;;3;;227;;1,510;;454;;45;;(.);515;;82;MEDIUM HUMAN DEVELOPMENT
85;Suriname;..;;..;;(.);;0;;0;;..;;..;2;;100;MEDIUM HUMAN DEVELOPMENT
86;Jordan;..;;500;;2;;76;;117;;13;;(.);101;;144;MEDIUM HUMAN DEVELOPMENT
87;Peru;60;g;1;;7;;138;;365;;0;;(.);80;;63;MEDIUM HUMAN DEVELOPMENT
88;Lebanon;800;;20;;12;;20;;0;;0;;(.);72;;414;MEDIUM HUMAN DEVELOPMENT
89;Ecuador;..;;12;;1;;29;;0;;..;;..;57;;134;MEDIUM HUMAN DEVELOPMENT
90;Philippines;120;;(.);;1;;32;;43;;..;;..;106;;92;MEDIUM HUMAN DEVELOPMENT
91;Tunisia;..;;(.);;3;;56;;16;;..;;..;35;;100;MEDIUM HUMAN DEVELOPMENT
92;Fiji;..;;..;;2;;0;;0;;..;;..;4;;148;MEDIUM HUMAN DEVELOPMENT
93;Saint Vincent and the Grenadines;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
94;Iran (Islamic Republic of);..;;968;;102;;630;;891;;9;;(.);545;;89;MEDIUM HUMAN DEVELOPMENT
95;Paraguay;..;;(.);;(.);;2;;0;;..;;..;10;;69;MEDIUM HUMAN DEVELOPMENT
96;Georgia;241;;1;;6;;0;;0;;0;;(.);11;;..;MEDIUM HUMAN DEVELOPMENT
97;Guyana;..;;..;;1;;0;;0;;..;;..;1;;15;MEDIUM HUMAN DEVELOPMENT
98;Azerbaijan;687;i;3;;126;;0;;0;;..;;..;67;;..;MEDIUM HUMAN DEVELOPMENT
99;Sri Lanka;600;g;(.);;117;;152;;20;;..;;..;151;;699;MEDIUM HUMAN DEVELOPMENT
100;Maldives;..;;..;;(.);;0;;0;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
101;Jamaica;..;;..;;1;;0;;25;;..;;..;3;;143;MEDIUM HUMAN DEVELOPMENT
102;Cape Verde;..;;..;;(.);;0;;0;;..;;..;1;;13;MEDIUM HUMAN DEVELOPMENT
103;El Salvador;..;;(.);;6;;3;;0;;..;;..;16;;38;MEDIUM HUMAN DEVELOPMENT
104;Algeria;1,000;g;94;j;8;;87;;173;;..;;..;138;;81;MEDIUM HUMAN DEVELOPMENT
105;Viet Nam;..;;2;;374;;207;;179;;..;;..;455;;44;MEDIUM HUMAN DEVELOPMENT
106;Occupied Palestinian Territories;57;g,k;..;;334;;9;;0;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
107;Indonesia;250;;(.);;35;;435;;54;;8;;(.);302;;109;MEDIUM HUMAN DEVELOPMENT
108;Syrian Arab Republic;305;g;702;;12;;21;;9;;3;;(.);308;;77;MEDIUM HUMAN DEVELOPMENT
109;Turkmenistan;0;;1;;1;;0;;0;;..;;..;26;;..;MEDIUM HUMAN DEVELOPMENT
110;Nicaragua;..;;(.);;2;;..;;..;;0;;(.);14;;22;MEDIUM HUMAN DEVELOPMENT
111;Moldova;..;;(.);;12;;0;;0;;0;;(.);7;;..;MEDIUM HUMAN DEVELOPMENT
112;Egypt;..;;88;;8;;986;;526;;0;;(.);469;;105;MEDIUM HUMAN DEVELOPMENT
113;Uzbekistan;3;g;1;;9;;0;;0;;0;;1;55;;..;MEDIUM HUMAN DEVELOPMENT
114;Mongolia;..;;(.);;1;;..;;..;;..;;..;9;;27;MEDIUM HUMAN DEVELOPMENT
115;Honduras;..;;(.);;1;;..;;..;;..;;..;12;;72;MEDIUM HUMAN DEVELOPMENT
116;Kyrgyzstan;..;;(.);;2;;0;;1;;0;;(.);13;;..;MEDIUM HUMAN DEVELOPMENT
117;Bolivia;..;;1;;(.);;0;;26;;..;;..;46;;167;MEDIUM HUMAN DEVELOPMENT
118;Guatemala;242;g;(.);;7;;0;;0;;..;;..;16;;50;MEDIUM HUMAN DEVELOPMENT
119;Gabon;..;;8;;(.);;0;;63;;..;;..;5;;208;MEDIUM HUMAN DEVELOPMENT
120;Vanuatu;..;;..;;..;;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
121;South Africa;..;;35;;1;;38;;862;;115;;(.);62;;58;MEDIUM HUMAN DEVELOPMENT
122;Tajikistan;..;;1;;1;;0;;13;;..;;..;8;;..;MEDIUM HUMAN DEVELOPMENT
123;Sao Tome and Principe;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
124;Botswana;..;;3;;(.);;29;;0;;..;;..;9;;225;MEDIUM HUMAN DEVELOPMENT
125;Namibia;..;;5;;1;;0;;0;;..;;..;9;;..;MEDIUM HUMAN DEVELOPMENT
126;Morocco;..;;1;;5;;86;;49;;..;;..;201;;135;MEDIUM HUMAN DEVELOPMENT
127;Equatorial Guinea;..;;..;;(.);;0;;0;;..;;..;1;;45;MEDIUM HUMAN DEVELOPMENT
128;India;600;;158;;18;;996;;1,672;;11;;(.);1,316;;104;MEDIUM HUMAN DEVELOPMENT
129;Solomon Islands;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
130;Lao People's Democratic Republic;..;;..;;26;;0;;0;;..;;..;29;;54;MEDIUM HUMAN DEVELOPMENT
131;Cambodia;..;;(.);;18;;33;;0;;0;;(.);124;;354;MEDIUM HUMAN DEVELOPMENT
132;Myanmar;500;l;..;;203;;120;;7;;..;;..;375;;202;MEDIUM HUMAN DEVELOPMENT
133;Bhutan;..;;..;;108;;0;;0;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
134;Comoros;..;;..;;(.);;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
135;Ghana;..;;45;;10;;7;;0;;..;;..;14;;93;MEDIUM HUMAN DEVELOPMENT
136;Pakistan;..;m;1,044;n;26;;529;;309;;0;;(.);619;;..;MEDIUM HUMAN DEVELOPMENT
137;Mauritania;..;;1;;33;;2;;0;;..;;..;16;;188;MEDIUM HUMAN DEVELOPMENT
138;Lesotho;..;;..;;(.);;0;;0;;..;;..;2;;100;MEDIUM HUMAN DEVELOPMENT
139;Congo;8;g;56;;21;;0;;0;;..;;..;10;;115;MEDIUM HUMAN DEVELOPMENT
140;Bangladesh;500;;26;;8;;5;;208;;..;;..;127;;139;MEDIUM HUMAN DEVELOPMENT
141;Swaziland;..;;1;;(.);;0;;0;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
142;Nepal;200;;128;;3;;0;;0;;..;;..;69;;276;MEDIUM HUMAN DEVELOPMENT
143;Madagascar;..;;..;;(.);;19;;0;;..;;..;14;;66;MEDIUM HUMAN DEVELOPMENT
144;Cameroon;..;;35;;10;;4;;0;;..;;..;14;;192;MEDIUM HUMAN DEVELOPMENT
145;Papua New Guinea;..;;10;;(.);;0;;0;;..;;..;3;;94;MEDIUM HUMAN DEVELOPMENT
146;Haiti;..;;..;;21;;..;;..;;..;;..;..;;..;MEDIUM HUMAN DEVELOPMENT
147;Sudan;5,355;;202;;686;;29;;48;;..;;..;105;;186;MEDIUM HUMAN DEVELOPMENT
148;Kenya;431;;273;;5;;0;;0;;..;;..;24;;175;MEDIUM HUMAN DEVELOPMENT
149;Djibouti;..;;9;;(.);;0;;0;;..;;..;11;;367;MEDIUM HUMAN DEVELOPMENT
150;Timor-Leste;100;;..;;(.);;..;;..;;..;;..;1;;..;MEDIUM HUMAN DEVELOPMENT
151;Zimbabwe;570;g,o;4;;13;;0;;20;;..;;..;29;;71;MEDIUM HUMAN DEVELOPMENT
152;Togo;2;;6;;27;;0;;0;;..;;..;9;;250;MEDIUM HUMAN DEVELOPMENT
153;Yemen;..;;96;;1;;0;;0;;..;;..;67;;105;MEDIUM HUMAN DEVELOPMENT
154;Uganda;1700;;272;;22;;0;;0;;..;;..;45;;225;MEDIUM HUMAN DEVELOPMENT
155;Gambia;..;;14;;1;;0;;0;;..;;..;1;;200;MEDIUM HUMAN DEVELOPMENT
156;Senegal;64;g;21;;15;;0;;0;;..;;..;14;;139;LOW HUMAN DEVELOPMENT
157;Eritrea;45;;5;;187;;15;;70;;0;;(.);202;;..;LOW HUMAN DEVELOPMENT
158;Nigeria;..;;9;;13;;16;;72;;..;;..;85;;90;LOW HUMAN DEVELOPMENT
159;Tanzania (United Republic of);..;;485;;2;;0;;0;;..;;..;27;;67;LOW HUMAN DEVELOPMENT
160;Guinea;19;g;31;;7;;0;;0;;..;;..;12;;121;LOW HUMAN DEVELOPMENT
161;Rwanda;..;;49;;93;;1;;0;;..;;..;33;;635;LOW HUMAN DEVELOPMENT
162;Angola;62;g;13;;207;;9;;0;;0;;(.);107;;216;LOW HUMAN DEVELOPMENT
163;Benin;..;;11;;(.);;0;;0;;..;;..;5;;111;LOW HUMAN DEVELOPMENT
164;Malawi;..;;4;;(.);;..;;..;;0;;(.);5;;94;LOW HUMAN DEVELOPMENT
165;Zambia;..;;120;;(.);;5;;15;;..;;..;15;;93;LOW HUMAN DEVELOPMENT
166;Côte d'Ivoire;750;;39;;26;;0;;0;;..;;..;17;;129;LOW HUMAN DEVELOPMENT
167;Burundi;100;;13;;397;;0;;0;;..;;..;35;;673;LOW HUMAN DEVELOPMENT
168;Congo (Democratic Republic of the);1,100;;208;;402;;46;;13;;..;;..;51;;106;LOW HUMAN DEVELOPMENT
169;Ethiopia;280;;97;;83;;0;;0;;..;;..;153;;71;LOW HUMAN DEVELOPMENT
170;Chad;113;;287;;36;;0;;2;;..;;..;17;;139;LOW HUMAN DEVELOPMENT
171;Central African Republic;212;;12;;72;;0;;9;;..;;..;3;;130;LOW HUMAN DEVELOPMENT
172;Mozambique;..;;3;;(.);;0;;0;;..;;..;11;;70;LOW HUMAN DEVELOPMENT
173;Mali;..;;11;;1;;0;;0;;..;;..;7;;143;LOW HUMAN DEVELOPMENT
174;Niger;..;;(.);;1;;0;;0;;..;;..;5;;227;LOW HUMAN DEVELOPMENT
175;Guinea-Bissau;..;;8;;1;;..;;..;;..;;..;9;;105;LOW HUMAN DEVELOPMENT
176;Burkina Faso;..;;1;;(.);;0;;0;;..;;..;11;;275;LOW HUMAN DEVELOPMENT
177;Sierra Leone;..;;27;;43;;0;;0;;..;;..;11;;355;LOW HUMAN DEVELOPMENT
